,delta,delta_conf
hebm!370,0.036643361,0.005612126
migrate!522,0.036635444,0.004408322
wrbm!824,0.036634808,0.005161526
valinc!780,0.036630791,0.005633511
malch!408,0.036619745,0.004075492
aeeiadd!18,0.036617891,0.005046573
aglparl!56,0.036613611,0.005340185
ccmlbm!119,0.036608052,0.003902507
migrate!634,0.03660357,0.004577127
chmlbm!201,0.036599394,0.004684758
aglparl!57,0.036587731,0.00501438
rlbm!713,0.036568253,0.004585363
smch!753,0.036558352,0.00339357
ecgradd!328,0.036556639,0.004578155
chpqbm!249,0.036552298,0.004283488
wmbm!820,0.036548687,0.004510983
wmbm!815,0.036544934,0.004469576
aceiadd!16,0.03654254,0.004504019
agrbm!88,0.036541368,0.004641722
taxmp!762,0.036531416,0.004197867
chplbm!233,0.036529352,0.004343951
migrate!422,0.036527596,0.004285696
aeeiadd!22,0.036511333,0.004694979
ccpqbm!167,0.036504236,0.004694531
migrate!561,0.036502569,0.005223995
wlbm!802,0.036486547,0.004702156
vslel!796,0.036480403,0.00512034
forbm!352,0.036474227,0.004779306
drylandlossparam!315,0.036447706,0.004269099
smch!754,0.036444971,0.005160645
ccmlbm!133,0.036442255,0.005051289
migrate!512,0.036440889,0.004406089
migrate!629,0.036427043,0.004311801
fornl!367,0.036421479,0.00409874
agcbm!38,0.036404754,0.004536916
ccpqbm!180,0.036397872,0.004407089
migrate!487,0.036397798,0.005087868
taxmp!771,0.036373059,0.004325007
rlbm!707,0.03637094,0.003593482
chmlbm!212,0.036367086,0.004534019
cebm!193,0.036365497,0.004807499
rlbm!708,0.036358343,0.00530773
migrate!603,0.036352495,0.004255126
dlbm!302,0.036346692,0.003986103
migrate!547,0.036338341,0.00453958
ccplbm!161,0.036332061,0.004511026
migrate!581,0.03633117,0.004407252
migrate!524,0.036328878,0.004610509
pc!688,0.036328609,0.004912365
pgadd!693,0.036320546,0.004217111
migrate!530,0.036319116,0.004840334
smch!749,0.036305589,0.004100719
migrate!596,0.036304367,0.004500614
migrate!501,0.036297589,0.004924836
chplbm!235,0.036293933,0.004343926
agrbm!85,0.036284463,0.003943633
wlbm!807,0.036265567,0.005569921
migrate!441,0.036258486,0.005132477
migrate!560,0.036257348,0.004505803
migrate!645,0.036244392,0.004070616
smch!756,0.036236576,0.004705188
migrate!518,0.036233782,0.004294266
ccmqbm!140,0.036212606,0.004872594
rlbm!717,0.036211856,0.003305654
agtime!111,0.036206308,0.003798987
taxmp!774,0.036189147,0.004782773
aglparl!55,0.036179854,0.004363789
agcbm!43,0.036164611,0.004528551
migrate!481,0.036153982,0.003710894
ccmlbm!132,0.036135113,0.005042878
migrate!508,0.036133408,0.004678338
aeeiadd!26,0.036123879,0.00476712
migrate!635,0.036111586,0.004933094
migrate!510,0.036107492,0.004125117
migrate!608,0.036103188,0.005119143
wrbm!832,0.036102787,0.004962763
dlbm!292,0.036094961,0.004123778
valinc!781,0.036087137,0.004165192
aglparq!79,0.036076841,0.004874234
agrbm!83,0.036064972,0.004450281
ccplbm!152,0.036062568,0.00439673
migrate!565,0.036049753,0.003800829
wvsl!846,0.036040805,0.004358307
taxmp!773,0.036039956,0.004371505
migrate!460,0.036036415,0.004840749
lifen2o!395,0.036023906,0.005014254
migrate!525,0.036018506,0.004279774
migrate!509,0.036016284,0.004172744
migrate!553,0.036015576,0.003964804
aeeiadd!23,0.035999099,0.004375753
rlbm!716,0.0359975,0.004069657
migrate!502,0.035982519,0.00393359
rqbm!727,0.035970791,0.004447071
rlbm!709,0.035954295,0.004929866
migrate!492,0.035950943,0.004572086
migrate!639,0.035938715,0.004673793
malch!410,0.035932947,0.0034654
ccmqbm!147,0.035932576,0.004272912
wrbm!828,0.035932398,0.004570486
migrate!549,0.035926558,0.004428549
wrbm!839,0.035922003,0.004453932
migrate!648,0.035919706,0.004690694
ecgradd!331,0.035898287,0.004499878
migrate!618,0.035878585,0.004517882
seas!739,0.035872687,0.004885909
agcbm!39,0.035869735,0.004488119
migrate!571,0.035860814,0.004551079
migrate!586,0.035849804,0.003989275
wmbm!811,0.035841388,0.004552947
migrate!521,0.03582466,0.00500564
aglparl!53,0.035820563,0.004841962
valinc!776,0.03581929,0.004049261
aeeiadd!25,0.035810911,0.004289106
taxmp!766,0.035809616,0.00453402
pgadd!691,0.035808365,0.004690291
rlbm!712,0.035805048,0.004706867
cebm!185,0.035793195,0.005149707
chpqbm!258,0.035790677,0.005069485
rqbm!728,0.035780326,0.003811691
migrate!568,0.035777098,0.00475509
migrate!474,0.035772367,0.004522374
migrate!550,0.03575364,0.005168233
drylandlossparam!309,0.035734282,0.003919218
lifeco5!394,0.035732507,0.003931685
smch!741,0.035723998,0.00546598
diamortel!284,0.035708792,0.004878052
dfch!270,0.035707677,0.004755661
pc!677,0.035707409,0.004559744
chmqbm!232,0.035693686,0.004292354
ecgradd!326,0.035681846,0.004422078
smch!744,0.035671387,0.004715042
drylandlossparam!310,0.03566987,0.003576359
agtime!102,0.035669041,0.00445075
ccmqbm!134,0.035665007,0.004482127
valinc!786,0.035658494,0.004297681
migrate!545,0.03565496,0.004345639
migrate!548,0.035644887,0.004026647
chplbm!242,0.035644626,0.004453541
wrbm!826,0.035642559,0.004514416
migrate!628,0.035618181,0.00492861
rqbm!723,0.035617981,0.004533972
aglparq!70,0.035607976,0.005131245
migrate!513,0.035605909,0.004825203
agtime!110,0.035599135,0.004554064
migrate!638,0.035595975,0.004274005
migrate!646,0.03559597,0.006176428
smch!742,0.035592707,0.004964012
foremadd!365,0.035592431,0.005519954
migrate!498,0.03558258,0.00436353
drylandlossparam!319,0.035581201,0.004229754
drylandlossparam!314,0.035576702,0.004744151
migrate!421,0.035565115,0.004809824
migrate!631,0.035556475,0.004135926
migrate!604,0.035537845,0.004645977
migrate!667,0.035533397,0.004393863
migrate!540,0.035522898,0.005066385
hebm!372,0.035512289,0.004118831
pgadd!699,0.035496262,0.003770913
wmbm!817,0.03547125,0.004945715
foremadd!359,0.03546995,0.0057354
chmqbm!227,0.035459295,0.004022203
drylandlossparam!313,0.035448107,0.004844962
wlbm!805,0.035427287,0.005617563
migrate!517,0.035411558,0.004943927
migrate!507,0.035401567,0.004282226
migrate!459,0.03538986,0.004385069
ccpqbm!172,0.035384903,0.004330569
migrate!452,0.035378401,0.004623935
migrate!661,0.035378193,0.003389572
ccplbm!165,0.035377741,0.004705937
wvpdl!845,0.035361132,0.003699152
migrate!503,0.035357114,0.003705987
migrate!450,0.035349715,0.004383856
migrate!444,0.035332055,0.004830423
smch!746,0.035331022,0.005229658
valinc!784,0.035327985,0.003963283
agtime!103,0.035311181,0.005177837
dfch!273,0.035308355,0.005214963
forbm!351,0.035300054,0.004769115
malch!406,0.035288555,0.004868714
migrate!451,0.035285039,0.006049963
chplbm!244,0.035262543,0.004124693
migrate!529,0.035252502,0.004857552
migrate!423,0.035247564,0.003855353
migrate!534,0.035232812,0.00464756
rlbm!718,0.035226878,0.004396337
migrate!671,0.035215715,0.004153217
smch!750,0.035214455,0.004339399
migrate!589,0.035212734,0.004667721
pc!685,0.035211373,0.003868902
chplbm!237,0.035208835,0.004107724
migrate!606,0.035202343,0.004916693
migrate!647,0.035193699,0.003901858
malch!403,0.035175259,0.004053404
ccmqbm!139,0.035168864,0.004487722
ccplbm!160,0.035160834,0.004134289
ccmlbm!125,0.035137579,0.004810367
migrate!564,0.035124147,0.004396622
migrate!431,0.035114803,0.005083923
migrate!658,0.03511002,0.005343152
dlbm!289,0.035108944,0.004900204
vmorbel!794,0.035089461,0.004881303
migrate!470,0.035087584,0.003945311
agtime!100,0.035087518,0.003763765
aeeiadd!30,0.035084096,0.004685468
drylandlossparam!307,0.03505821,0.004767145
migrate!500,0.035045141,0.004424924
vslbm!795,0.034987965,0.0035702
migrate!563,0.034980447,0.005224085
ccmqbm!138,0.034978394,0.004257722
malch!400,0.034973945,0.00437875
ccplbm!159,0.034960237,0.00356061
heel!384,0.034956165,0.004882818
ccpqbm!178,0.034949241,0.002979202
